Months_since_Release,Format,A_units,A_values,Platform_Label,Territory_label
3,DIGITAL,300,11217.48925,PS4,EASTERN EUROPE
3,DIGITAL,300,13831.88372,PS4,FRANCE
3,DIGITAL,300,12625.53589,PS4,MIDDLE EAST
3,DIGITAL,300,14551.99476,PS4,NORDICS
3,DIGITAL,100,4491.29932,PC,BENE
3,DIGITAL,100,3787.038462,PC,CENTRAL EUROPE
3,DIGITAL,100,2393.683333,PC,EASTERN EUROPE
3,DIGITAL,100,4229.847826,PC,FRANCE
3,DIGITAL,100,4254.064246,PC,GSA
3,DIGITAL,100,4297.570513,PC,IBERIA
3,DIGITAL,100,3888.45,PC,ITALY
3,DIGITAL,100,5005.5,PC,LUXEMBOURG
3,DIGITAL,100,3293.341463,PC,MIDDLE EAST
3,DIGITAL,100,4747.024123,PC,NORDICS
3,DIGITAL,100,4284.266667,PC,NORTHERN EUROPE
3,DIGITAL,100,4089.837591,PC,OCEANIA
3,DIGITAL,100,3468.148438,PC,POLAND
3,DIGITAL,100,3410.5,PC,SOUTHERN EUROPE
3,DIGITAL,100,4162.761206,PC,UNITED KINGDOM & IRELAND
3,DIGITAL,100,4244.898462,PS4,CENTRAL EUROPE
3,DIGITAL,100,4656.894737,PS4,LUXEMBOURG
3,DIGITAL,100,5573.074074,PS4,NORTHERN EUROPE
3,DIGITAL,100,3938.625,PS4,POLAND
3,DIGITAL,100,3919.903955,PS4,SOUTHERN EUROPE
3,DIGITAL,100,4725.846154,XBOX ONE,BENE
3,DIGITAL,100,3781.792453,XBOX ONE,CENTRAL EUROPE
3,DIGITAL,100,3671.686567,XBOX ONE,EASTERN EUROPE
3,DIGITAL,100,5150.959302,XBOX ONE,FRANCE
3,DIGITAL,100,4632.663793,XBOX ONE,GSA
3,DIGITAL,100,5125.0,XBOX ONE,IBERIA
3,DIGITAL,100,4863.0,XBOX ONE,ITALY
3,DIGITAL,100,3686.38342,XBOX ONE,MIDDLE EAST
3,DIGITAL,100,5465.82069,XBOX ONE,NORDICS
3,DIGITAL,100,5178.195745,XBOX ONE,OCEANIA
3,DIGITAL,100,3151.069767,XBOX ONE,POLAND
3,DIGITAL,100,3145.2,XBOX ONE,SOUTHERN EUROPE
3,DIGITAL,100,4407.552764,XBOX ONE,UNITED KINGDOM & IRELAND
3,DIGITAL,400,19022.52947,PS4,GSA
3,DIGITAL,400,16096.1626,PS4,UNITED KINGDOM & IRELAND
3,DIGITAL,200,9580.995951,PS4,BENE
3,DIGITAL,200,9278.082988,PS4,IBERIA
3,DIGITAL,200,8846.522167,PS4,ITALY
3,DIGITAL,200,8794.648305,PS4,OCEANIA
3,PHYSICAL,100,4811.151452,PC,BENE
3,PHYSICAL,100,4884.623574,PC,FRANCE
3,PHYSICAL,100,3458.272727,PC,IBERIA
3,PHYSICAL,100,6038.481481,PC,ITALY
3,PHYSICAL,100,4283.73494,PC,NORDICS
3,PHYSICAL,100,0.0,PS4,POLAND
3,PHYSICAL,100,2684.418911,PS4,UNITED KINGDOM & IRELAND
3,PHYSICAL,100,6155.384895,XBOX ONE,BENE
3,PHYSICAL,100,6410.7106,XBOX ONE,FRANCE
3,PHYSICAL,100,6422.285943,XBOX ONE,IBERIA
3,PHYSICAL,100,6224.476793,XBOX ONE,ITALY
3,PHYSICAL,100,6797.28706,XBOX ONE,NORDICS
3,PHYSICAL,100,0.0,XBOX ONE,POLAND
3,PHYSICAL,100,2398.295455,XBOX ONE,UNITED KINGDOM & IRELAND
3,PHYSICAL,400,24573.91273,PS4,IBERIA
3,PHYSICAL,200,12599.00054,PS4,BENE
3,PHYSICAL,200,5836.914551,PS4,GSA
3,PHYSICAL,200,13182.02684,PS4,ITALY
3,PHYSICAL,200,13500.9953,PS4,NORDICS
3,PHYSICAL,500,32262.17201,PS4,FRANCE
2,DIGITAL,800,42548.8946,PS4,GSA
2,DIGITAL,800,34409.90755,PS4,UNITED KINGDOM & IRELAND
2,DIGITAL,300,16220.68421,PS4,BENE
2,DIGITAL,300,14070.36958,PS4,EASTERN EUROPE
2,DIGITAL,300,16031.15061,PS4,IBERIA
2,DIGITAL,600,31463.03647,PS4,NORDICS
2,DIGITAL,100,4570.79257,PC,BENE
2,DIGITAL,100,4302.614754,PC,CENTRAL EUROPE
2,DIGITAL,100,4671.84104,PC,FRANCE
2,DIGITAL,100,4279.921519,PC,IBERIA
2,DIGITAL,100,4442.295455,PC,ITALY
2,DIGITAL,100,4684.214286,PC,LUXEMBOURG
2,DIGITAL,100,3705.112952,PC,MIDDLE EAST
2,DIGITAL,100,4485.818182,PC,NORTHERN EUROPE
2,DIGITAL,100,3512.169492,PC,POLAND
2,DIGITAL,100,4588.861702,PC,SOUTHERN EUROPE
2,DIGITAL,100,4776.474777,PS4,CENTRAL EUROPE
2,DIGITAL,100,5299.0,PS4,LUXEMBOURG
2,DIGITAL,100,6429.0,PS4,NORTHERN EUROPE
2,DIGITAL,100,4618.996727,PS4,POLAND
2,DIGITAL,100,4684.654008,PS4,SOUTHERN EUROPE
2,DIGITAL,100,5010.188406,XBOX ONE,BENE
2,DIGITAL,100,3776.419048,XBOX ONE,CENTRAL EUROPE
2,DIGITAL,100,4205.440789,XBOX ONE,EASTERN EUROPE
2,DIGITAL,100,5175.383436,XBOX ONE,FRANCE
2,DIGITAL,100,4635.974747,XBOX ONE,IBERIA
2,DIGITAL,100,4381.093407,XBOX ONE,ITALY
2,DIGITAL,100,3732.070529,XBOX ONE,MIDDLE EAST
2,DIGITAL,100,5506.63662,XBOX ONE,NORDICS
2,DIGITAL,100,4863.126551,XBOX ONE,OCEANIA
2,DIGITAL,100,3458.63388,XBOX ONE,POLAND
2,DIGITAL,100,4364.2,XBOX ONE,SOUTHERN EUROPE
2,DIGITAL,400,18452.98418,PS4,MIDDLE EAST
2,DIGITAL,200,5585.252557,PC,EASTERN EUROPE
2,DIGITAL,200,9211.189151,PC,GSA
2,DIGITAL,200,9815.214286,PC,NORDICS
2,DIGITAL,200,8422.641604,PC,OCEANIA
2,DIGITAL,200,8412.666094,PC,UNITED KINGDOM & IRELAND
2,DIGITAL,200,10223.97403,PS4,ITALY
2,DIGITAL,200,10588.77629,PS4,OCEANIA
2,DIGITAL,200,9668.833114,XBOX ONE,GSA
2,DIGITAL,200,8942.880419,XBOX ONE,UNITED KINGDOM & IRELAND
2,DIGITAL,500,26800.88235,PS4,FRANCE
2,PHYSICAL,300,20935.60784,PS4,NORDICS
2,PHYSICAL,300,17348.25073,XBOX ONE,FRANCE
2,PHYSICAL,600,41125.55772,PS4,IBERIA
2,PHYSICAL,600,40901.47231,PS4,ITALY
2,PHYSICAL,100,5606.852842,PC,BENE
2,PHYSICAL,100,4810.766962,PC,FRANCE
2,PHYSICAL,100,5430.179104,PC,IBERIA
2,PHYSICAL,100,5982.528302,PC,ITALY
2,PHYSICAL,100,6464.266667,PC,NORDICS
2,PHYSICAL,100,0.0,PS4,POLAND
2,PHYSICAL,100,2229.526048,PS4,UNITED KINGDOM & IRELAND
2,PHYSICAL,100,6220.594552,XBOX ONE,BENE
2,PHYSICAL,100,6871.512265,XBOX ONE,IBERIA
2,PHYSICAL,100,6914.086514,XBOX ONE,ITALY
2,PHYSICAL,100,7354.201802,XBOX ONE,NORDICS
2,PHYSICAL,100,0.0,XBOX ONE,POLAND
2,PHYSICAL,100,2306.699782,XBOX ONE,UNITED KINGDOM & IRELAND
2,PHYSICAL,400,25226.84865,PS4,BENE
2,PHYSICAL,200,5740.34239,PS4,GSA
2,PHYSICAL,1500,87963.96009,PS4,FRANCE
1,DIGITAL,1800,133720.7424,PS4,GSA
1,DIGITAL,300,16967.50845,PC,IBERIA
1,DIGITAL,300,22426.29293,PS4,ITALY
1,DIGITAL,300,23887.64123,XBOX ONE,OCEANIA
1,DIGITAL,1100,62458.83842,PC,GSA
1,DIGITAL,1100,73808.53531,XBOX ONE,UNITED KINGDOM & IRELAND
1,DIGITAL,600,26971.12415,PC,MIDDLE EAST
1,DIGITAL,600,45027.47705,PS4,BENE
1,DIGITAL,100,5537.303191,PC,CENTRAL EUROPE
1,DIGITAL,100,5658.426471,PC,LUXEMBOURG
1,DIGITAL,100,5337.230392,PC,NORTHERN EUROPE
1,DIGITAL,100,5600.949084,PC,POLAND
1,DIGITAL,100,5640.873112,PC,SOUTHERN EUROPE
1,DIGITAL,100,7369.971039,PS4,CENTRAL EUROPE
1,DIGITAL,100,7530.25,PS4,LUXEMBOURG
1,DIGITAL,100,7634.964912,PS4,NORTHERN EUROPE
1,DIGITAL,100,7576.586207,PS4,SOUTHERN EUROPE
1,DIGITAL,100,7806.93483,XBOX ONE,BENE
1,DIGITAL,100,7081.95098,XBOX ONE,CENTRAL EUROPE
1,DIGITAL,100,7101.822034,XBOX ONE,EASTERN EUROPE
1,DIGITAL,100,7739.329137,XBOX ONE,IBERIA
1,DIGITAL,100,7399.483333,XBOX ONE,POLAND
1,DIGITAL,100,7574.193548,XBOX ONE,SOUTHERN EUROPE
1,DIGITAL,900,39109.04293,PC,EASTERN EUROPE
1,DIGITAL,900,50917.10177,PC,NORDICS
1,DIGITAL,900,50833.17993,PC,OCEANIA
1,DIGITAL,400,22793.05301,PC,BENE
1,DIGITAL,400,30671.56567,XBOX ONE,GSA
1,DIGITAL,1700,108541.1525,PS4,UNITED KINGDOM & IRELAND
1,DIGITAL,1200,88722.65419,PS4,FRANCE
1,DIGITAL,1200,77947.2441,PS4,MIDDLE EAST
1,DIGITAL,1200,88575.74268,PS4,NORDICS
1,DIGITAL,700,50006.38578,PS4,EASTERN EUROPE
1,DIGITAL,200,11428.30308,PC,ITALY
1,DIGITAL,200,14828.29215,PS4,POLAND
1,DIGITAL,200,15499.27273,XBOX ONE,ITALY
1,DIGITAL,200,15250.14129,XBOX ONE,MIDDLE EAST
1,DIGITAL,200,15361.99302,XBOX ONE,NORDICS
1,DIGITAL,1000,52424.13959,PC,UNITED KINGDOM & IRELAND
1,DIGITAL,500,28617.03028,PC,FRANCE
1,DIGITAL,500,36866.40391,PS4,IBERIA
1,DIGITAL,500,39503.47018,PS4,OCEANIA
1,DIGITAL,500,38528.08811,XBOX ONE,FRANCE
1,PHYSICAL,3100,229469.5154,PS4,ITALY
1,PHYSICAL,2600,201213.8694,PS4,IBERIA
1,PHYSICAL,1100,71876.18328,XBOX ONE,FRANCE
1,PHYSICAL,100,5773.150503,PC,BENE
1,PHYSICAL,100,7298.266771,PC,IBERIA
1,PHYSICAL,100,5998.267379,PC,ITALY
1,PHYSICAL,100,7714.430191,PC,NORDICS
1,PHYSICAL,100,0.0,PS4,POLAND
1,PHYSICAL,100,2926.861538,PS4,UNITED KINGDOM & IRELAND
1,PHYSICAL,100,0.0,XBOX ONE,POLAND
1,PHYSICAL,100,2883.753501,XBOX ONE,UNITED KINGDOM & IRELAND
1,PHYSICAL,400,29689.56702,XBOX ONE,ITALY
1,PHYSICAL,200,10887.63832,PC,FRANCE
1,PHYSICAL,200,6057.564384,PS4,GSA
1,PHYSICAL,200,13757.88618,XBOX ONE,BENE
1,PHYSICAL,200,15847.98631,XBOX ONE,IBERIA
1,PHYSICAL,200,14371.42036,XBOX ONE,NORDICS
1,PHYSICAL,2000,131217.8761,PS4,BENE
1,PHYSICAL,1500,110691.4333,PS4,NORDICS
1,PHYSICAL,7900,502198.0081,PS4,FRANCE
