Months_since_Release,Format,A_units,A_values,Platform_Label,Territory_label,Avg_Price_unit
3,DIGITAL,300,11217.48925,PS4,EASTERN EUROPE,37.39163083333334
3,DIGITAL,300,13831.88372,PS4,FRANCE,46.106279066666666
3,DIGITAL,300,12625.53589,PS4,MIDDLE EAST,42.08511963333333
3,DIGITAL,300,14551.99476,PS4,NORDICS,48.5066492
3,DIGITAL,100,4491.29932,PC,BENE,44.9129932
3,DIGITAL,100,3787.038462,PC,CENTRAL EUROPE,37.87038462
3,DIGITAL,100,2393.683333,PC,EASTERN EUROPE,23.93683333
3,DIGITAL,100,4229.847826,PC,FRANCE,42.29847826
3,DIGITAL,100,4254.064246,PC,GSA,42.54064246
3,DIGITAL,100,4297.570513,PC,IBERIA,42.975705129999994
3,DIGITAL,100,3888.45,PC,ITALY,38.884499999999996
3,DIGITAL,100,5005.5,PC,LUXEMBOURG,50.055
3,DIGITAL,100,3293.341463,PC,MIDDLE EAST,32.93341463
3,DIGITAL,100,4747.024123,PC,NORDICS,47.47024123
3,DIGITAL,100,4284.266667,PC,NORTHERN EUROPE,42.84266667
3,DIGITAL,100,4089.837591,PC,OCEANIA,40.89837591
3,DIGITAL,100,3468.148438,PC,POLAND,34.68148438
3,DIGITAL,100,3410.5,PC,SOUTHERN EUROPE,34.105
3,DIGITAL,100,4162.761206,PC,UNITED KINGDOM & IRELAND,41.627612060000004
3,DIGITAL,100,4244.898462,PS4,CENTRAL EUROPE,42.448984620000004
3,DIGITAL,100,4656.894737,PS4,LUXEMBOURG,46.56894737
3,DIGITAL,100,5573.074074,PS4,NORTHERN EUROPE,55.73074074
3,DIGITAL,100,3938.625,PS4,POLAND,39.38625
3,DIGITAL,100,3919.903955,PS4,SOUTHERN EUROPE,39.19903955
3,DIGITAL,100,4725.846154,XBOX ONE,BENE,47.25846154
3,DIGITAL,100,3781.792453,XBOX ONE,CENTRAL EUROPE,37.81792453
3,DIGITAL,100,3671.686567,XBOX ONE,EASTERN EUROPE,36.716865670000004
3,DIGITAL,100,5150.959302,XBOX ONE,FRANCE,51.509593020000004
3,DIGITAL,100,4632.663793,XBOX ONE,GSA,46.32663793
3,DIGITAL,100,5125.0,XBOX ONE,IBERIA,51.25
3,DIGITAL,100,4863.0,XBOX ONE,ITALY,48.63
3,DIGITAL,100,3686.38342,XBOX ONE,MIDDLE EAST,36.8638342
3,DIGITAL,100,5465.82069,XBOX ONE,NORDICS,54.658206899999996
3,DIGITAL,100,5178.195745,XBOX ONE,OCEANIA,51.78195745
3,DIGITAL,100,3151.069767,XBOX ONE,POLAND,31.51069767
3,DIGITAL,100,3145.2,XBOX ONE,SOUTHERN EUROPE,31.451999999999998
3,DIGITAL,100,4407.552764,XBOX ONE,UNITED KINGDOM & IRELAND,44.07552764
3,DIGITAL,400,19022.52947,PS4,GSA,47.556323675
3,DIGITAL,400,16096.1626,PS4,UNITED KINGDOM & IRELAND,40.2404065
3,DIGITAL,200,9580.995951,PS4,BENE,47.90497975500001
3,DIGITAL,200,9278.082988,PS4,IBERIA,46.39041494
3,DIGITAL,200,8846.522167,PS4,ITALY,44.232610834999996
3,DIGITAL,200,8794.648305,PS4,OCEANIA,43.973241525000006
3,PHYSICAL,100,4811.151452,PC,BENE,48.11151452
3,PHYSICAL,100,4884.623574,PC,FRANCE,48.846235740000004
3,PHYSICAL,100,3458.272727,PC,IBERIA,34.58272727
3,PHYSICAL,100,6038.481481,PC,ITALY,60.384814809999995
3,PHYSICAL,100,4283.73494,PC,NORDICS,42.8373494
3,PHYSICAL,100,5713.1106859870515,PS4,POLAND,57.13110685987051
3,PHYSICAL,100,2684.418911,PS4,UNITED KINGDOM & IRELAND,26.844189110000002
3,PHYSICAL,100,6155.384895,XBOX ONE,BENE,61.55384895
3,PHYSICAL,100,6410.7106,XBOX ONE,FRANCE,64.107106
3,PHYSICAL,100,6422.285943,XBOX ONE,IBERIA,64.22285943
3,PHYSICAL,100,6224.476793,XBOX ONE,ITALY,62.244767929999995
3,PHYSICAL,100,6797.28706,XBOX ONE,NORDICS,67.9728706
3,PHYSICAL,100,5713.1106859870515,XBOX ONE,POLAND,57.13110685987051
3,PHYSICAL,100,2398.295455,XBOX ONE,UNITED KINGDOM & IRELAND,23.98295455
3,PHYSICAL,400,24573.91273,PS4,IBERIA,61.434781825
3,PHYSICAL,200,12599.00054,PS4,BENE,62.99500269999999
3,PHYSICAL,200,5836.914551,PS4,GSA,29.184572754999998
3,PHYSICAL,200,13182.02684,PS4,ITALY,65.9101342
3,PHYSICAL,200,13500.9953,PS4,NORDICS,67.5049765
3,PHYSICAL,500,32262.17201,PS4,FRANCE,64.52434402
2,DIGITAL,800,42548.8946,PS4,GSA,53.18611825
2,DIGITAL,800,34409.90755,PS4,UNITED KINGDOM & IRELAND,43.0123844375
2,DIGITAL,300,16220.68421,PS4,BENE,54.06894736666666
2,DIGITAL,300,14070.36958,PS4,EASTERN EUROPE,46.901231933333335
2,DIGITAL,300,16031.15061,PS4,IBERIA,53.4371687
2,DIGITAL,600,31463.03647,PS4,NORDICS,52.438394116666665
2,DIGITAL,100,4570.79257,PC,BENE,45.7079257
2,DIGITAL,100,4302.614754,PC,CENTRAL EUROPE,43.026147540000004
2,DIGITAL,100,4671.84104,PC,FRANCE,46.7184104
2,DIGITAL,100,4279.921519,PC,IBERIA,42.799215190000005
2,DIGITAL,100,4442.295455,PC,ITALY,44.42295455000001
2,DIGITAL,100,4684.214286,PC,LUXEMBOURG,46.84214286
2,DIGITAL,100,3705.112952,PC,MIDDLE EAST,37.051129519999996
2,DIGITAL,100,4485.818182,PC,NORTHERN EUROPE,44.85818182
2,DIGITAL,100,3512.169492,PC,POLAND,35.12169492
2,DIGITAL,100,4588.861702,PC,SOUTHERN EUROPE,45.88861702
2,DIGITAL,100,4776.474777,PS4,CENTRAL EUROPE,47.76474777000001
2,DIGITAL,100,5299.0,PS4,LUXEMBOURG,52.99
2,DIGITAL,100,6429.0,PS4,NORTHERN EUROPE,64.29
2,DIGITAL,100,4618.996727,PS4,POLAND,46.18996727
2,DIGITAL,100,4684.654008,PS4,SOUTHERN EUROPE,46.846540080000004
2,DIGITAL,100,5010.188406,XBOX ONE,BENE,50.10188406
2,DIGITAL,100,3776.419048,XBOX ONE,CENTRAL EUROPE,37.76419048
2,DIGITAL,100,4205.440789,XBOX ONE,EASTERN EUROPE,42.05440789
2,DIGITAL,100,5175.383436,XBOX ONE,FRANCE,51.75383436
2,DIGITAL,100,4635.974747,XBOX ONE,IBERIA,46.35974747
2,DIGITAL,100,4381.093407,XBOX ONE,ITALY,43.81093407
2,DIGITAL,100,3732.070529,XBOX ONE,MIDDLE EAST,37.32070529
2,DIGITAL,100,5506.63662,XBOX ONE,NORDICS,55.066366200000004
2,DIGITAL,100,4863.126551,XBOX ONE,OCEANIA,48.631265510000006
2,DIGITAL,100,3458.63388,XBOX ONE,POLAND,34.5863388
2,DIGITAL,100,4364.2,XBOX ONE,SOUTHERN EUROPE,43.641999999999996
2,DIGITAL,400,18452.98418,PS4,MIDDLE EAST,46.132460449999996
2,DIGITAL,200,5585.252557,PC,EASTERN EUROPE,27.926262785
2,DIGITAL,200,9211.189151,PC,GSA,46.055945755
2,DIGITAL,200,9815.214286,PC,NORDICS,49.07607143
2,DIGITAL,200,8422.641604,PC,OCEANIA,42.11320802
2,DIGITAL,200,8412.666094,PC,UNITED KINGDOM & IRELAND,42.063330470000004
2,DIGITAL,200,10223.97403,PS4,ITALY,51.11987015
2,DIGITAL,200,10588.77629,PS4,OCEANIA,52.94388145
2,DIGITAL,200,9668.833114,XBOX ONE,GSA,48.344165569999994
2,DIGITAL,200,8942.880419,XBOX ONE,UNITED KINGDOM & IRELAND,44.714402095
2,DIGITAL,500,26800.88235,PS4,FRANCE,53.6017647
2,PHYSICAL,300,20935.60784,PS4,NORDICS,69.78535946666666
2,PHYSICAL,300,17348.25073,XBOX ONE,FRANCE,57.82750243333333
2,PHYSICAL,600,41125.55772,PS4,IBERIA,68.54259619999999
2,PHYSICAL,600,40901.47231,PS4,ITALY,68.16912051666667
2,PHYSICAL,100,5606.852842,PC,BENE,56.06852842
2,PHYSICAL,100,4810.766962,PC,FRANCE,48.107669619999996
2,PHYSICAL,100,5430.179104,PC,IBERIA,54.30179104
2,PHYSICAL,100,5982.528302,PC,ITALY,59.82528302
2,PHYSICAL,100,6464.266667,PC,NORDICS,64.64266667
2,PHYSICAL,100,5713.1106859870515,PS4,POLAND,57.13110685987051
2,PHYSICAL,100,2229.526048,PS4,UNITED KINGDOM & IRELAND,22.295260480000003
2,PHYSICAL,100,6220.594552,XBOX ONE,BENE,62.20594551999999
2,PHYSICAL,100,6871.512265,XBOX ONE,IBERIA,68.71512265
2,PHYSICAL,100,6914.086514,XBOX ONE,ITALY,69.14086514
2,PHYSICAL,100,7354.201802,XBOX ONE,NORDICS,73.54201802
2,PHYSICAL,100,5713.1106859870515,XBOX ONE,POLAND,57.13110685987051
2,PHYSICAL,100,2306.699782,XBOX ONE,UNITED KINGDOM & IRELAND,23.06699782
2,PHYSICAL,400,25226.84865,PS4,BENE,63.067121625
2,PHYSICAL,200,5740.34239,PS4,GSA,28.70171195
2,PHYSICAL,1500,87963.96009,PS4,FRANCE,58.64264006
1,DIGITAL,1800,133720.7424,PS4,GSA,74.28930133333333
1,DIGITAL,300,16967.50845,PC,IBERIA,56.558361500000004
1,DIGITAL,300,22426.29293,PS4,ITALY,74.75430976666667
1,DIGITAL,300,23887.64123,XBOX ONE,OCEANIA,79.62547076666667
1,DIGITAL,1100,62458.83842,PC,GSA,56.7807622
1,DIGITAL,1100,73808.53531,XBOX ONE,UNITED KINGDOM & IRELAND,67.09866846363637
1,DIGITAL,600,26971.12415,PC,MIDDLE EAST,44.95187358333333
1,DIGITAL,600,45027.47705,PS4,BENE,75.04579508333333
1,DIGITAL,100,5537.303191,PC,CENTRAL EUROPE,55.37303191
1,DIGITAL,100,5658.426471,PC,LUXEMBOURG,56.58426471
1,DIGITAL,100,5337.230392,PC,NORTHERN EUROPE,53.37230392000001
1,DIGITAL,100,5600.949084,PC,POLAND,56.00949084
1,DIGITAL,100,5640.873112,PC,SOUTHERN EUROPE,56.40873112
1,DIGITAL,100,7369.971039,PS4,CENTRAL EUROPE,73.69971039
1,DIGITAL,100,7530.25,PS4,LUXEMBOURG,75.3025
1,DIGITAL,100,7634.964912,PS4,NORTHERN EUROPE,76.34964912000001
1,DIGITAL,100,7576.586207,PS4,SOUTHERN EUROPE,75.76586207
1,DIGITAL,100,7806.93483,XBOX ONE,BENE,78.0693483
1,DIGITAL,100,7081.95098,XBOX ONE,CENTRAL EUROPE,70.81950979999999
1,DIGITAL,100,7101.822034,XBOX ONE,EASTERN EUROPE,71.01822034
1,DIGITAL,100,7739.329137,XBOX ONE,IBERIA,77.39329137
1,DIGITAL,100,7399.483333,XBOX ONE,POLAND,73.99483333
1,DIGITAL,100,7574.193548,XBOX ONE,SOUTHERN EUROPE,75.74193548
1,DIGITAL,900,39109.04293,PC,EASTERN EUROPE,43.45449214444445
1,DIGITAL,900,50917.10177,PC,NORDICS,56.57455752222222
1,DIGITAL,900,50833.17993,PC,OCEANIA,56.481311033333334
1,DIGITAL,400,22793.05301,PC,BENE,56.982632525
1,DIGITAL,400,30671.56567,XBOX ONE,GSA,76.678914175
1,DIGITAL,1700,108541.1525,PS4,UNITED KINGDOM & IRELAND,63.84773676470588
1,DIGITAL,1200,88722.65419,PS4,FRANCE,73.93554515833334
1,DIGITAL,1200,77947.2441,PS4,MIDDLE EAST,64.95603675
1,DIGITAL,1200,88575.74268,PS4,NORDICS,73.81311889999999
1,DIGITAL,700,50006.38578,PS4,EASTERN EUROPE,71.43769397142857
1,DIGITAL,200,11428.30308,PC,ITALY,57.141515399999996
1,DIGITAL,200,14828.29215,PS4,POLAND,74.14146075
1,DIGITAL,200,15499.27273,XBOX ONE,ITALY,77.49636365
1,DIGITAL,200,15250.14129,XBOX ONE,MIDDLE EAST,76.25070645
1,DIGITAL,200,15361.99302,XBOX ONE,NORDICS,76.8099651
1,DIGITAL,1000,52424.13959,PC,UNITED KINGDOM & IRELAND,52.424139589999996
1,DIGITAL,500,28617.03028,PC,FRANCE,57.234060559999996
1,DIGITAL,500,36866.40391,PS4,IBERIA,73.73280782
1,DIGITAL,500,39503.47018,PS4,OCEANIA,79.00694035999999
1,DIGITAL,500,38528.08811,XBOX ONE,FRANCE,77.05617622
1,PHYSICAL,3100,229469.5154,PS4,ITALY,74.02242432258065
1,PHYSICAL,2600,201213.8694,PS4,IBERIA,77.38994976923077
1,PHYSICAL,1100,71876.18328,XBOX ONE,FRANCE,65.34198479999999
1,PHYSICAL,100,5773.150503,PC,BENE,57.73150503
1,PHYSICAL,100,7298.266771,PC,IBERIA,72.98266771
1,PHYSICAL,100,5998.267379,PC,ITALY,59.98267379
1,PHYSICAL,100,7714.430191,PC,NORDICS,77.14430191000001
1,PHYSICAL,100,5713.1106859870515,PS4,POLAND,57.13110685987051
1,PHYSICAL,100,2926.861538,PS4,UNITED KINGDOM & IRELAND,29.26861538
1,PHYSICAL,100,5713.1106859870515,XBOX ONE,POLAND,57.13110685987051
1,PHYSICAL,100,2883.753501,XBOX ONE,UNITED KINGDOM & IRELAND,28.83753501
1,PHYSICAL,400,29689.56702,XBOX ONE,ITALY,74.22391755
1,PHYSICAL,200,10887.63832,PC,FRANCE,54.4381916
1,PHYSICAL,200,6057.564384,PS4,GSA,30.287821920000003
1,PHYSICAL,200,13757.88618,XBOX ONE,BENE,68.7894309
1,PHYSICAL,200,15847.98631,XBOX ONE,IBERIA,79.23993155
1,PHYSICAL,200,14371.42036,XBOX ONE,NORDICS,71.8571018
1,PHYSICAL,2000,131217.8761,PS4,BENE,65.60893804999999
1,PHYSICAL,1500,110691.4333,PS4,NORDICS,73.79428886666668
1,PHYSICAL,7900,502198.0081,PS4,FRANCE,63.56936811392405
