Months_since_Release,Format,A_units,A_values,Platform_Label,Territory_label,Avg_Price_unit,log_A_values,Forecasted_A_units,Discount_Forecast
3,DIGITAL,300.0,11217.48925,PS4,EASTERN EUROPE,37.39163083333334,9.325229379525632,,
3,DIGITAL,300.0,13831.88372,PS4,FRANCE,46.106279066666666,9.534731620734384,,
3,DIGITAL,300.0,12625.53589,PS4,MIDDLE EAST,42.08511963333333,9.443476699975397,,
3,DIGITAL,300.0,14551.99476,PS4,NORDICS,48.5066492,9.585483360109933,,
3,DIGITAL,100.0,4491.29932,PC,BENE,44.9129932,8.409897319720065,,
3,DIGITAL,100.0,3787.038462,PC,CENTRAL EUROPE,37.87038462,8.239339584174488,,
3,DIGITAL,100.0,2393.683333,PC,EASTERN EUROPE,23.93683333,7.780588602097261,,
3,DIGITAL,100.0,4229.847826,PC,FRANCE,42.29847826,8.349921296452312,,
3,DIGITAL,100.0,4254.064246,PC,GSA,42.54064246,8.355630098137913,,
3,DIGITAL,100.0,4297.570513,PC,IBERIA,42.975705129999994,8.365805145033972,,
3,DIGITAL,100.0,3888.45,PC,ITALY,38.8845,8.265765899623627,,
3,DIGITAL,100.0,5005.5,PC,LUXEMBOURG,50.055,8.518292586859538,,
3,DIGITAL,100.0,3293.341463,PC,MIDDLE EAST,32.93341463,8.099657970593023,,
3,DIGITAL,100.0,4747.024123,PC,NORDICS,47.47024123,8.46527320027424,,
3,DIGITAL,100.0,4284.266667,PC,NORTHERN EUROPE,42.84266667,8.362704676829242,,
3,DIGITAL,100.0,4089.837591,PC,OCEANIA,40.89837591,8.316260539446477,,
3,DIGITAL,100.0,3468.148438,PC,POLAND,34.68148438,8.151376139175909,,
3,DIGITAL,100.0,3410.5,PC,SOUTHERN EUROPE,34.105,8.134614187094774,,
3,DIGITAL,100.0,4162.761206,PC,UNITED KINGDOM & IRELAND,41.62761206,8.333933884512055,,
3,DIGITAL,100.0,4244.898462,PS4,CENTRAL EUROPE,42.44898462,8.353473179024745,,
3,DIGITAL,100.0,4656.894737,PS4,LUXEMBOURG,46.56894737,8.44610413954891,,
3,DIGITAL,100.0,5573.074074,PS4,NORTHERN EUROPE,55.73074074,8.62570207906563,,
3,DIGITAL,100.0,3938.625,PS4,POLAND,39.38625,8.278586956611049,,
3,DIGITAL,100.0,3919.903955,PS4,SOUTHERN EUROPE,39.19903955,8.273822431208837,,
3,DIGITAL,100.0,4725.846154,XBOX ONE,BENE,47.25846154,8.460801904106535,,
3,DIGITAL,100.0,3781.792453,XBOX ONE,CENTRAL EUROPE,37.81792453,8.237953370134573,,
3,DIGITAL,100.0,3671.686567,XBOX ONE,EASTERN EUROPE,36.71686567,8.20840639052641,,
3,DIGITAL,100.0,5150.959302,XBOX ONE,FRANCE,51.50959302,8.546938248544274,,
3,DIGITAL,100.0,4632.663793,XBOX ONE,GSA,46.32663793,8.440887314900891,,
3,DIGITAL,100.0,5125.0,XBOX ONE,IBERIA,51.25,8.54188580400661,,
3,DIGITAL,100.0,4863.0,XBOX ONE,ITALY,48.63,8.489410810403786,,
3,DIGITAL,100.0,3686.38342,XBOX ONE,MIDDLE EAST,36.8638342,8.212401153438556,,
3,DIGITAL,100.0,5465.82069,XBOX ONE,NORDICS,54.6582069,8.606269561339612,,
3,DIGITAL,100.0,5178.195745,XBOX ONE,OCEANIA,51.78195745,8.552211962802831,,
3,DIGITAL,100.0,3151.069767,XBOX ONE,POLAND,31.51069767,8.05549728273717,,
3,DIGITAL,100.0,3145.2,XBOX ONE,SOUTHERN EUROPE,31.452,8.053632760117361,,
3,DIGITAL,100.0,4407.552764,XBOX ONE,UNITED KINGDOM & IRELAND,44.07552764,8.391074885612733,,
3,DIGITAL,400.0,19022.52947,PS4,GSA,47.556323675,9.853379317267509,,
3,DIGITAL,400.0,16096.1626,PS4,UNITED KINGDOM & IRELAND,40.2404065,9.68633617473711,,
